Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Zimbabwe,ZWE,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan,AFG,9.39572716,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Africa Eastern and Southern,AFE,5.925881793,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Africa Western and Central,AFW,4.004789858,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Albania,ALB,5.26271439,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Algeria,DZA,6.2184267,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,American Samoa,ASM,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Andorra,AND,6.71033096,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Angola,AGO,2.54900527,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Antigua and Barbuda,ATG,5.23155928,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Arab World,ARB,5.230997825,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Argentina,ARG,9.62454033,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Armenia,ARM,10.02538967,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Aruba,ABW,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Australia,AUS,9.28459835,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Austria,AUT,10.32559872,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Azerbaijan,AZE,3.51373243,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Bahamas, The",BHS,6.24896193,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bahrain,BHR,4.13356352,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bangladesh,BGD,2.3428061,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Barbados,BRB,6.56259155,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belarus,BLR,5.64426613,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belgium,BEL,10.31865311,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belize,BLZ,5.69105911,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Benin,BEN,2.49141979,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bermuda,BMU,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bhutan,BTN,3.0574255,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bolivia,BOL,6.30102587,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bosnia and Herzegovina,BIH,8.895051,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Botswana,BWA,5.84825039,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brazil,BRA,9.51438713,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,British Virgin Islands,VGB,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brunei Darussalam,BRN,2.41291642,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bulgaria,BGR,7.34667873,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Burkina Faso,BFA,5.62852383,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Burundi,BDI,7.74165535,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cabo Verde,CPV,5.35998297,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cambodia,KHM,6.02654314,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cameroon,CMR,3.52989626,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Canada,CAN,10.79046917,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Caribbean small states,CSS,6.373303379,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cayman Islands,CYM,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Central African Republic,CAF,10.99253082,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Central Europe and the Baltics,CEB,6.610849468,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Chad,TCD,4.09880257,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Channel Islands,CHI,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Chile,CHL,9.14051342,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,China,CHN,5.35107994,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Colombia,COL,7.63980007,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Comoros,COM,4.58884811,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Congo, Dem. Rep.",COD,3.30075741,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Congo, Rep.",COG,2.13848233,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Costa Rica,CRI,7.56336021,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cote d'Ivoire,CIV,4.19003773,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Croatia,HRV,6.82702351,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cuba,CUB,11.18745422,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Curacao,CUW,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cyprus,CYP,6.76976299,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Czech Republic,CZE,7.64651203,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Denmark,DNK,10.0707159,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Djibouti,DJI,2.32438445,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Dominica,DMA,6.59153605,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Dominican Republic,DOM,5.73298407,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Early-demographic dividend,EAR,4.9916801,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific,EAS,6.684377838,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific (excluding high income),EAP,5.090382843,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,5.090514313,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ecuador,ECU,8.13646507,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Egypt, Arab Rep.",EGY,4.947577,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,El Salvador,SLV,7.10940361,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Equatorial Guinea,GNQ,2.99830961,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eritrea,ERI,4.09255791,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Estonia,EST,6.6878767,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eswatini,SWZ,6.54034519,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ethiopia,ETH,3.29555655,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Euro area,EMU,10.13792461,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia,ECS,9.29894472,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia (excluding high income),ECA,5.179637944,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,5.370986719,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,European Union,EUU,9.855911283,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Faroe Islands,FRO,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Fiji,FJI,3.42366552,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Finland,FIN,9.037323,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Fragile and conflict affected situations,FCS,4.436401948,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,France,FRA,11.25789452,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,French Polynesia,PYF,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Gabon,GAB,2.74503946,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Gambia, The",GMB,3.09379649,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Georgia,GEO,7.11329746,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Germany,DEU,11.42995071,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ghana,GHA,3.53888083,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Gibraltar,GIB,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Greece,GRC,7.71544075,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Greenland,GRL,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Grenada,GRD,4.46386862,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guam,GUM,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guatemala,GTM,5.70716429,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guinea,GIN,3.93172431,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guinea-Bissau,GNB,6.99553871,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guyana,GUY,5.93609333,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Haiti,HTI,7.69460344,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Heavily indebted poor countries (HIPC),HPC,4.862817579,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,High income,HIC,12.46367939,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Honduras,HND,7.04958153,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Hong Kong SAR, China",HKG,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Hungary,HUN,6.70007229,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IBRD only,IBD,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Iceland,ISL,8.46930885,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA & IBRD total,IBT,5.453126341,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA blend,IDB,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA only,IDX,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA total,IDA,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,India,IND,3.544245,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Indonesia,IDN,2.87053037,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Iran, Islamic Rep.",IRN,8.66168594,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Iraq,IRQ,4.1062417,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ireland,IRL,6.92870378,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Isle of Man,IMN,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Israel,ISR,7.51703548,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Italy,ITA,8.66763401,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Jamaica,JAM,6.06135607,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Japan,JPN,10.95338821,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Jordan,JOR,7.79041338,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kazakhstan,KAZ,2.92212725,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kenya,KEN,5.16729498,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kiribati,KIR,12.11170006,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Korea, Rep.",KOR,7.56259203,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kosovo,XKX,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kuwait,KWT,4.99920797,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kyrgyz Republic,KGZ,6.53458309,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lao PDR,LAO,2.24630332,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Late-demographic dividend,LTE,5.765623804,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,LCN,7.966220435,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean (excluding high income),LAC,7.891058849,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,7.909767239,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latvia,LVA,6.18923044,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Least developed countries: UN classification,LDC,4.023881636,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lebanon,LBN,8.35297012,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lesotho,LSO,9.28354836,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Liberia,LBR,6.73955679,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Libya,LBY,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Liechtenstein,LIE,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lithuania,LTU,6.56775236,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Low & middle income,LMY,5.408206508,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Low income,LIC,5.226032868,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lower middle income,LMC,4.094932537,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Luxembourg,LUX,5.28587103,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Macao SAR, China",MAC,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Madagascar,MDG,4.78956461,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malawi,MWI,9.33423615,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malaysia,MYS,3.7562995,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Maldives,MDV,9.41152477,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mali,MLI,3.8849268,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malta,MLT,8.96454525,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Marshall Islands,MHL,17.55299377,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mauritania,MRT,4.58039093,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mauritius,MUS,5.82624388,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mexico,MEX,5.37147474,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Micronesia, Fed. Sts.",FSM,12.59075356,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa,MEA,5.833548527,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa (excluding high income),MNA,6.270744586,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,6.270744586,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle income,MIC,5.410313378,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Moldova,MDA,6.59544849,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Monaco,MCO,1.59738493,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mongolia,MNG,3.78789377,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Montenegro,MNE,8.4230423,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Morocco,MAR,5.31261539,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mozambique,MOZ,8.17430115,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Myanmar,MMR,4.79125547,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Namibia,NAM,7.95077181,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nauru,NRU,9.5781002,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nepal,NPL,5.84083414,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Netherlands,NLD,9.97458649,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,New Caledonia,NCL,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,New Zealand,NZL,9.21034622,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nicaragua,NIC,8.56453705,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Niger,NER,7.33380175,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nigeria,NGA,3.88990784,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,North America,NAC,16.41540724,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,North Macedonia,MKD,6.58288956,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Northern Mariana Islands,MNP,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Norway,NOR,10.0493927,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Not classified,INX,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,OECD members,OED,12.45080489,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Oman,OMN,4.13171434,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Other small states,OSS,4.488784877,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pacific island small states,PSS,4.920333197,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pakistan,PAK,3.20193386,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Palau,PLW,10.86687088,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Panama,PAN,7.26584625,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Papua New Guinea,PNG,2.36706114,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Paraguay,PRY,6.65451145,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Peru,PER,5.23800182,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Philippines,PHL,4.40060663,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Poland,POL,6.33085012,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Portugal,PRT,9.40783501,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Post-demographic dividend,PST,12.8841632,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pre-demographic dividend,PRE,4.256801235,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Puerto Rico,PRI,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Qatar,QAT,2.49480486,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Romania,ROU,5.55660582,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Russian Federation,RUS,5.31590033,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Rwanda,RWA,7.54268694,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Samoa,WSM,5.21262693,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,San Marino,SMR,7.14421701,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sao Tome and Principe,STP,6.26645994,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Saudi Arabia,SAU,6.3615365,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Senegal,SEN,3.97799659,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Serbia,SRB,8.53899002,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Seychelles,SYC,5.11036491,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sierra Leone,SLE,16.06307983,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Singapore,SGP,4.46444654,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sint Maarten (Dutch part),SXM,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Slovak Republic,SVK,6.68639565,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Slovenia,SVN,8.29891014,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Small states,SST,4.766183695,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Solomon Islands,SLB,4.47443104,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Somalia,SOM,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Africa,ZAF,8.25342083,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Asia,SAS,3.484673938,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Asia (IDA & IBRD),TSA,3.484673938,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Sudan,SSD,6.40037966,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Spain,ESP,8.97741413,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sri Lanka,LKA,3.75841475,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Kitts and Nevis,KNA,5.31148005,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Lucia,LCA,4.39812708,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Martin (French part),MAF,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Vincent and the Grenadines,VCT,4.47178459,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa,SSF,5.094033646,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,5.094018438,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,5.094033646,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sudan,SDN,4.51304483,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Suriname,SUR,7.96947193,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sweden,SWE,10.8985014,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Switzerland,CHE,11.87620926,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Syrian Arab Republic,SYR,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tajikistan,TJK,7.2394805,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tanzania,TZA,3.62868047,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Thailand,THA,3.79303908,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Timor-Leste,TLS,4.32635784,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Togo,TGO,6.16532087,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tonga,TON,5.09657621,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Trinidad and Tobago,TTO,6.93182945,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tunisia,TUN,7.29209566,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Turkey,TUR,4.12414074,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Turkmenistan,TKM,6.60540628,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Turks and Caicos Islands,TCA,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tuvalu,TUV,19.04735947,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uganda,UGA,6.52623558,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ukraine,UKR,7.72391653,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United Arab Emirates,ARE,4.22590351,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United Kingdom,GBR,9.99696255,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United States,USA,16.88529778,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Upper middle income,UMC,5.819721202,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uruguay,URY,9.20269966,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uzbekistan,UZB,5.29149055,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Vanuatu,VUT,3.37372637,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Venezuela, RB",VEN,3.56269026,..,..
